customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,67
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,40
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,67
4,Talbot,None,Male,33,1961-10-03,Missing,IT,Mass Customer,N,No,7.0,59
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,Missing,Affluent Customer,N,Yes,8.0,44
6,Curr,Duckhouse,Male,35,1966-09-16,Missing,Retail,High Net Worth,N,Yes,13.0,54
7,Fina,Merali,Female,6,1976-02-23,Missing,Financial Services,Affluent Customer,N,Yes,11.0,45
8,Rod,Inder,Male,31,1962-03-30,Media Manager I,Missing,Mass Customer,N,No,7.0,59
9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,48
10,Fiorenze,Birdall,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0,32
11,Uriah,Bisatt,Male,99,1954-04-30,Missing,Property,Mass Customer,N,No,9.0,67
12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,26
13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0,66
14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0,38
15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,20
16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,Missing,Mass Customer,N,Yes,18.0,44
17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,Missing,Affluent Customer,N,Yes,15.0,59
18,Marjie,Neasham,Female,79,1967-07-06,Professor,Missing,Affluent Customer,N,No,11.0,53
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,20
